1,看 完 ， 我 也 流泪 了 ， 这 就是 母爱 ！
1,虽然 因为 下雨 的 缘故 没能 挂 起 太极旗   但 却 在 心中 一直 记挂着
0,队长 张镇 戎 在 此文 中 表示   组成 本队 之 人员 亦 纯为 黄帝 子孙 。 。 。
0,杭州 绿城 2  0 力克 名古屋 鲸 八 ， 为 中超 争名 。
0,今天 立夏 ， 也 是 四月 初四 日 ， 文殊 菩萨 圣诞 日 ， 文殊 菩萨 ， 音译 文殊师 利 或 曼殊 师利 。
2,泪    我家 亲戚 和 朋友 们 都 联系 不上 了  。
3,行驶 在 全世界 最不守 交规 的 人群 中
0,这 几年 似乎 有种 倾向 ， 把 1949  1976 年间 的 极端 错误 ， 统统 归结为 毛一人 。
0,韩国 女人 翻白眼 的 动作 是 民族 性本能 么
0,五年 了 ， 从 最 开始 的 一两名 会员 ， 到 现在 的 700 人 。
0,现 确认 1 名 35 岁 左右 、 身高 173 米 上下 、 体态 中等 偏胖 的 男子 有 重大 作案嫌疑 。
0,最大 的 一棵 死亡 悬铃木 ， 胸围 280 厘米 ， 有 80 年 树林 。
3,被 爆 菊花 了  体能 ， 技战术 ， 配合 ， 拼劲 ， 风格 ， 控球 ， 上海申花 有木有 ！ ！
1,呵呵  咱 可爱 的 劳动 人民 还是 很  潮  的 嘛
4,那些 过期 的 面包 ， 先 塞进 你们 自己 嘴里 ！ ！  怒
0,堂堂正正 的 做人 ， 光明磊落 做事 ， 该 记得 的 不能 遗忘 ， 该 遗忘 的 不要 存放 。
0,眼前 ， 朋友 们 对 时代 的 预言 ， 分为 悲观 与 乐观 两种 。
3,真心 看不起 ！
1,给力    韩国 人太给力 了
5,回 上海 喽 ， 刚刚 到 火车站 已误 了 火车 ， 于是 直奔 去 改签 半小时 后 一班 ， 所幸 的 是 还有 位子  呵呵  多 出来 的 二十分钟 正 好吃 顿 中饭 ， 东方 既白 的 猪排 饭 正好 特价 ， 比 昨天 的  实惠 多 了  酷  自己 是 个 随性 的 人 ， 旅途 中 常常 有 这样 的 小 意外 ， 随遇而安 就 好 ， 每个 意外 都 是 段 独特 的 经历
0,如果 你 觉得 看着 我时 觉得 拿 我 完全 没 办法 ， 谢谢 你 ， 我爱你 。
1,也 祝福 800 多 将要 出发 的 伙伴 们  全能 顺利 成行
0,就 像 我们 掬 着 一堆 斑斓 的 叶儿 抛向 天空 ， 愉悦 的 心声 ， 轻灵 的 心意 和 着 飞翔 的 叶片 抒成 一首 慷慨 缠绵 的 长诗 。
0,飘逸 的 混 泥土  百货大楼 ， 墨西哥 ， 设计    。
4,凭 神马 一群 马后炮 对 着 一个 赶鸭子上架 的 人 指责 来 指责 去 的 。
0,年纪 不小 了 ， 曾经 追求 的 浮华 喧闹 也 化为 对 生活 平淡 恬静 的 向往
1,亲 ， 23 岁 要 有 23 岁 的 自觉 好 吗 ， 亲 ， 外面 围着 的 都 是 狼 跟 麻麻 回家 好 吗 ， 亲 ， 你 笑 起来 眉眼 最 可爱 了 好 吗
0,可是 当 我们 独自 相处 的 时候 ， 把 我们 当 个 宝宝 一样 疼 吧 ！
2,有种 说不出 的 感觉 ， 好 留恋 ！
4,庚是 条 不归路 啊 ， 老娘 越走越远 了 怎么办 ！ ！ ！ ！ ？ ？ ？
